,Unnamed: 0,index,mr,mr_new,pseudo_mr,num_triples,wikiName,text,da,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
42783,42783,264,Eastern Woodrat diet Herbivore. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat gestation period 30-37 days. Eastern Woodrat domain animals.,Eastern Woodrat diet Herbivore. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat gestation period 30-37 days. Eastern Woodrat domain animals.,Eastern Woodrat Herbivore 0.47-0.73 Lb (213-331 G) 30-37 Days,4,Eastern Woodrat, The Eastern Woodrat is an herbivore that weighs between 0.47 and 0.73 lb (213-331 g). Its gestation period is 30-37 days.,inform,0.0275514063835594,36.2957878112793,13.952118378975724,0.9061623,inform,match_scores
36621,36621,724,Binturong top speed 15 mph. Binturong estimated population size Declining. Binturong locations Asia. Binturong diet Omnivore. Binturong domain animals.,Binturong top speed 15 mph. Binturong estimated population size Declining. Binturong locations Asia. Binturong diet Omnivore. Binturong domain animals.,Binturong 15 Mph Declining ['Asia' Omnivore,6,Binturong, The Binturong is an Asian Omnivore with a top speed of 15 mph. Its population is declining.,inform,0.0121253554084763,82.47180938720703,2.6643211213888947,0.7270096,inform,match_scores
37839,37839,734,"Sharp-Tailed Snake diet Carnivore. Sharp-Tailed Snake locations North-America. Sharp-Tailed Snake popularity very popular. Sharp-Tailed Snake estimated population size 100,000 plus adults. Sharp-Tailed Snake skin type Scales. Sharp-Tailed Snake lifespan 10 years. Sharp-Tailed Snake color BrownGreyRedWhite. Sharp-Tailed Snake domain animals.","Sharp-Tailed Snake diet Carnivore. Sharp-Tailed Snake locations North-America. Sharp-Tailed Snake popularity very popular. Sharp-Tailed Snake estimated population size 100,000 plus adults. Sharp-Tailed Snake skin type Scales. Sharp-Tailed Snake lifespan 10 years. Sharp-Tailed Snake color BrownGreyRedWhite. Sharp-Tailed Snake domain animals.","Sharp-Tailed Snake Carnivore ['North-America' Very Popular 100,000 Plus Adults Scales 10 Years Browngreyredwhite",9,Sharp-Tailed Snake," The Sharp-Tailed Snake is a carnivore found in North America, which is very popular with an estimated population of more than 100,000 adults. It has scales and a lifespan of 10 years. Its colors are typically Brown, Grey, Red and White.",inform,0.0419862320766619,23.817331314086918,1.8486822913873464,0.7573643,inform,match_scores
41426,41426,787,"Malayan Tiger diet Carnivore. Malayan Tiger locations Asia. Malayan Tiger favorite food Deer. Malayan Tiger weight 80kg - 150kg 176lbs - 330lbs. Malayan Tiger skin type Fur. Malayan Tiger lifespan 18 - 25 years. Malayan Tiger main prey Deer, Cattle, Wild Boar. Malayan Tiger domain animals.","Malayan Tiger diet Carnivore. Malayan Tiger locations Asia. Malayan Tiger favorite food Deer. Malayan Tiger weight 80kg - 150kg 176lbs - 330lbs. Malayan Tiger skin type Fur. Malayan Tiger lifespan 18 - 25 years. Malayan Tiger main prey Deer, Cattle, Wild Boar. Malayan Tiger domain animals.","Malayan Tiger Carnivore ['Asia' Deer 80Kg - 150Kg (176Lbs - 330Lbs) Fur 18 - 25 Years Deer, Cattle, Wild Boar",9,Malayan Tiger," The Malayan Tiger is a carnivore that is found in Asia. Its main prey is deer, cattle, and wild boar. It has a lifespan of 18 to 25 years and its fur is usually a yellowish orange with black stripes. It usually weighs between 80kg and 150kg, which is equal to 176lbs and 330lbs. Its favorite food is deer.",inform,0.0589839055641895,16.953777313232422,1.4209778184938686,0.79961604,inform,match_scores
42406,42406,875,"Nigerian Goat group behavior Herd. Nigerian Goat locations Africa, North-America. Nigerian Goat skin type Hair. Nigerian Goat weight 40-70lbs. Nigerian Goat domain animals.","Nigerian Goat group behavior Herd. Nigerian Goat locations Africa, North-America. Nigerian Goat skin type Hair. Nigerian Goat weight 40-70lbs. Nigerian Goat domain animals.","Nigerian Goat Herd ['Africa', 'North-America' Hair 40-70Lbs",6,Nigerian Goat," The Nigerian Goat is a herd animal, typically found in Africa and North-America. It is covered in hair and weighs between 40 and 70lbs.",inform,0.0211854746507549,47.20215225219727,3.300809119141885,0.75635254,inform,match_scores
40719,40719,949,"Cuban Cockroach habitat Trees, shrubs, and other damp/dark places in tropical environments. Cuban Cockroach top speed 4 mph. Cuban Cockroach common class Insect. Cuban Cockroach domain animals.","Cuban Cockroach habitat Trees, shrubs, and other damp/dark places in tropical environments. Cuban Cockroach top speed 4 mph. Cuban Cockroach common class Insect. Cuban Cockroach domain animals.","Cuban Cockroach Trees, Shrubs, And Other Damp/Dark Places In Tropical Environments 4 Mph Insect",4,Cuban Cockroach," The Cuban Cockroach is an insect found in trees, shrubs and other damp and dark places in tropical environments. They can run up to 4 miles per hour.",inform,0.0327020277467743,30.57914352416992,2.8525466573456515,0.91017234,inform,match_scores
43827,43827,1138,"Eastern Woodrat popularity very popular. Eastern Woodrat locations North-America. Eastern Woodrat name of young kittens or pups. Eastern Woodrat gestation period 30-37 days. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat habitat Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops. Eastern Woodrat skin type Hair. Eastern Woodrat domain animals.","Eastern Woodrat popularity very popular. Eastern Woodrat locations North-America. Eastern Woodrat name of young kittens or pups. Eastern Woodrat gestation period 30-37 days. Eastern Woodrat weight 0.47-0.73 lb 213-331 g. Eastern Woodrat habitat Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops. Eastern Woodrat skin type Hair. Eastern Woodrat domain animals.","Eastern Woodrat Very Popular ['North-America' Kittens Or Pups 30-37 Days 0.47-0.73 Lb (213-331 G) Forest, Caves, Shrublands, Grasslands, Wetlands, And Rocky Outcrops Hair",9,Eastern Woodrat," The Eastern Woodrat is a very popular species in North-America, with their young being called kittens or pups. The gestation period is 30-37 days and they weigh between 0.47-0.73 lb (213-331 g). They inhabit forests, caves, shrublands, grasslands, wetlands, and rocky outcrops and their skin is covered",inform,0.0367757525593858,27.191829681396484,7.967137083817866,0.8870113,inform,match_scores
37799,37799,1481,"Viper shark dogfish most distinctive feature Triangular jaw and fang-like teeth. Viper shark dogfish skin type Rough. Viper shark dogfish predators Bigeye tuna, sickle pomfret.. Viper shark dogfish locations Ocean. Viper shark dogfish common class Fish. Viper shark dogfish domain animals.","Viper shark dogfish most distinctive feature Triangular jaw and fang-like teeth. Viper shark dogfish skin type Rough. Viper shark dogfish predators Bigeye tuna, sickle pomfret.. Viper shark dogfish locations Ocean. Viper shark dogfish common class Fish. Viper shark dogfish domain animals.","Viper Shark (Dogfish) Triangular Jaw And Fang-Like Teeth Rough Bigeye Tuna, Sickle Pomfret. ['Ocean' Fish",7,Viper shark , The Viper Shark Dogfish is a fish found in the oceans. It has a rough skin and a most distinctive feature of a triangular jaw and fang-like teeth. Its predators are Bigeye tuna and Sickle pomfret.,inform,0.0166269129633014,60.14345550537109,2.482716946958931,0.8570466,inform,match_scores
39793,39793,2312,Spider Ball Python common class reptile. Spider Ball Python color Black. Spider Ball Python diet Carnivore. Spider Ball Python lifespan 20-50 years. Spider Ball Python litter size 1-11 eggs. Spider Ball Python locations Africa. Spider Ball Python domain animals.,Spider Ball Python common class reptile. Spider Ball Python color Black. Spider Ball Python diet Carnivore. Spider Ball Python lifespan 20-50 years. Spider Ball Python litter size 1-11 eggs. Spider Ball Python locations Africa. Spider Ball Python domain animals.,Spider Ball Python Reptile Black Carnivore 20-50 Years 1-11 Eggs ['Africa',8,Spider Ball Python,"
The Spider Ball Python is a black, carnivorous reptile found in Africa. It has a lifespan of 20-50 years and typically lays 1-11 eggs in a litter.",inform,0.0338163229186392,29.571517944335938,9.236238151687006,0.80810434,inform,match_scores
37417,37417,3001,"Horned Frog diet Carnivore. Horned Frog skin type Hair. Horned Frog slogan Natively found in South America!. Horned Frog lifespan 5-8 years. Horned Frog main prey Worms, Roaches, Insects. Horned Frog common class Amphibian. Horned Frog color BrownYellowWhite. Horned Frog domain animals.","Horned Frog diet Carnivore. Horned Frog skin type Hair. Horned Frog slogan Natively found in South America!. Horned Frog lifespan 5-8 years. Horned Frog main prey Worms, Roaches, Insects. Horned Frog common class Amphibian. Horned Frog color BrownYellowWhite. Horned Frog domain animals.","Horned Frog Carnivore Hair Natively Found In South America! 5-8 Years Worms, Roaches, Insects Amphibian Brownyellowwhite",8,Horned Frog," The Horned Frog is a carnivorous, hairy amphibian native to South America. It is typically brown, yellow, and white in color and has a lifespan of 5-8 years. Its most common prey are worms, roaches and insects.",inform,0.0678480099909549,14.738825798034668,4.630152090572267,0.8284892,inform,match_scores
44226,44226,3080,Aruba Rattlesnake common class reptile. Aruba Rattlesnake color BrownGreyFawn. Aruba Rattlesnake biggest threat Human encroachment. Aruba Rattlesnake gestation period About four months. Aruba Rattlesnake litter size 5-15. Aruba Rattlesnake skin type Scales. Aruba Rattlesnake domain animals.,Aruba Rattlesnake common class reptile. Aruba Rattlesnake color BrownGreyFawn. Aruba Rattlesnake biggest threat Human encroachment. Aruba Rattlesnake gestation period About four months. Aruba Rattlesnake litter size 5-15. Aruba Rattlesnake skin type Scales. Aruba Rattlesnake domain animals.,Aruba Rattlesnake Reptile Browngreyfawn Human Encroachment About Four Months 5-15 Scales,7,Aruba Rattlesnake," The Aruba Rattlesnake is a brown, grey, fawn colored reptile with a litter size of 5 to 15. It has a gestation period of about four months and its biggest threat is Human encroachment. It has a skin type of scales.",inform,0.0316162706371291,31.629283905029297,1.9986978024115485,0.7791996,inform,match_scores
43773,43773,3560,"Hammerhead Shark locations Ocean. Hammerhead Shark top speed 20 mph. Hammerhead Shark diet Carnivore. Hammerhead Shark predators Tiger Shark, Great White Shark, Killer Whale, Humans. Hammerhead Shark common class fish. Hammerhead Shark estimated population size Unknown. Hammerhead Shark domain animals.","Hammerhead Shark locations Ocean. Hammerhead Shark top speed 20 mph. Hammerhead Shark diet Carnivore. Hammerhead Shark predators Tiger Shark, Great White Shark, Killer Whale, Humans. Hammerhead Shark common class fish. Hammerhead Shark estimated population size Unknown. Hammerhead Shark domain animals.","Hammerhead Shark ['Ocean' 20 Mph Carnivore Tiger Shark, Great White Shark, Killer Whale, Humans Fish Unknown",8,Hammerhead Shark," The Hammerhead Shark is a fish found in oceans, with a top speed of 20 mph. It is a carnivore, with its predators being the Tiger Shark, Great White Shark, Killer Whale, and Humans. The estimated population size is unknown.",inform,0.0317188993852636,31.526945114135746,20.24191773340308,0.87100846,inform,match_scores
36450,36450,3595,"Dhole predators Tigers, Leopards, Humans. Dhole common class Mammal. Dhole main prey Deer, Rodents, Birds. Dhole diet Carnivore. Dhole weight 12kg - 20kg 26lbs - 44lbs. Dhole domain animals.","Dhole predators Tigers, Leopards, Humans. Dhole common class Mammal. Dhole main prey Deer, Rodents, Birds. Dhole diet Carnivore. Dhole weight 12kg - 20kg 26lbs - 44lbs. Dhole domain animals.","Dhole Tigers, Leopards, Humans Mammal Deer, Rodents, Birds Carnivore 12Kg - 20Kg (26Lbs - 44Lbs)",6,Dhole," The Dhole is a mammal that is typically between 12-20kg (26-44lbs) in weight and is a carnivore. Its main predators are tigers, leopards, and humans, and it mainly feeds on deer, rodents, and birds.",inform,0.0534903207646056,18.694971084594727,1.3462800614543955,0.7875637,inform,match_scores
39086,39086,4104,Koala gestation period 35 days. Koala group behavior Solitary. Koala height 60cm - 85cm 24in - 34in. Koala name of young Joey. Koala other names Koala Bear. Koala domain animals.,Koala gestation period 35 days. Koala group behavior Solitary. Koala height 60cm - 85cm 24in - 34in. Koala name of young Joey. Koala other names Koala Bear. Koala domain animals.,Koala 35 Days Solitary 60Cm - 85Cm (24In - 34In) Joey Koala Bear,6,Koala," The Koala, also known as the Koala Bear, is a solitary animal that is typically between 60cm and 85cm tall, or 24in and 34in. Gestation for a koala is roughly 35 days and the baby is called a Joey.",inform,0.0278087478149769,35.95990753173828,2.092817867871188,0.81026036,inform,match_scores
42697,42697,4341,"Mongoose diet Omnivore. Mongoose top speed 20 mph. Mongoose favorite food Rats. Mongoose habitat Open forests and grass plains. Mongoose skin type Fur. Mongoose locations Africa, Asia. Mongoose domain animals.","Mongoose diet Omnivore. Mongoose top speed 20 mph. Mongoose favorite food Rats. Mongoose habitat Open forests and grass plains. Mongoose skin type Fur. Mongoose locations Africa, Asia. Mongoose domain animals.","Mongoose Omnivore 20 Mph Rats Open Forests And Grass Plains Fur ['Africa', 'Asia'",8,Mongoose," The Mongoose is an Omnivore found in open forests and grass plains in Africa and Asia. It has fur and can run at speeds of up to 20 mph, with rats being its favorite food.",inform,0.0250900088178349,39.85650253295898,1.3705063051209183,0.78129405,inform,match_scores
42323,42323,4577,"LaMancha Goat common class mammal. LaMancha Goat weight Average 150 to 165 for males, 125 to 130 for females. LaMancha Goat diet Herbivore. LaMancha Goat domain animals.","LaMancha Goat common class mammal. LaMancha Goat weight Average 150 to 165 for males, 125 to 130 for females. LaMancha Goat diet Herbivore. LaMancha Goat domain animals.","Lamancha Goat Mammal Average 150 To 165 For Males, 125 To 130 For Females Herbivore",4,LaMancha Goat," The LaMancha Goat is a mammal, with an average weight of 150 to 165 for males, and 125 to 130 for females. It is a herbivore.",inform,0.0363037466836498,27.545366287231445,1.943043650185126,0.94276977,inform,match_scores
