,Unnamed: 0,index,mr,mr_new,pseudo_mr,num_triples,text,da,LM_prob,PPL,pseudo_bleu,scores,pred,criteria
12966,12966,2,Exotic rating okay. Exotic domain cat breeds.,Exotic rating okay. Exotic domain cat breeds.,Exotic Okay,2, The Exotic cat breed is given an okay rating.,inform,0.0027005650434568,370.2928771972656,4.196114906296549,0.64347225,inform,match_scores
15165,15165,9,Burmese min weight 8.0. Burmese max weight 12. Burmese domain cat breeds.,Burmese min weight 8.0. Burmese max weight 12. Burmese domain cat breeds.,Burmese 8.0 12,3, The Burmese is a breed of cat that typically weighs between 8.0  and 12 pounds.,inform,0.0126527377019476,79.0342788696289,3.21858262703621,0.63104135,inform,match_scores
10491,10491,10,Burmilla other pets friendly very friendly to other pets. Burmilla family friendly very affectionate. Burmilla domain cat breeds.,Burmilla other pets friendly very friendly to other pets. Burmilla family friendly very affectionate. Burmilla domain cat breeds.,Burmilla Very Friendly To Other Pets Very Affectionate,3, The Burmilla cat is very friendly to other pets and is very affectionate towards its family.,inform,0.0154552733078402,64.70283508300781,2.2869567780619007,0.8825777,give_opinion,all_scores_PPL
42022,42022,25,Sokoke playfulness very playful. Sokoke grooming little grooming. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke max weight 10. Sokoke domain cat breeds.,Sokoke playfulness very playful. Sokoke grooming little grooming. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke max weight 10. Sokoke domain cat breeds.,Sokoke Very Playful Little Grooming Sometimes Meows No Shedding Very Intelligent 10,7," The Sokoke is a very playful, intelligent, and low-maintenance cat breed which sometimes meows and doesn't shed. They typically weigh no more than 10 pounds.",inform,0.0154979419751812,64.52469635009766,1.5301683686839007,0.6827311,inform,match_scores
37436,37436,35,Kurilian Bobtail min life expectancy 15. Kurilian Bobtail rating good. Kurilian Bobtail children friendly very kid-friendly. Kurilian Bobtail shedding minimal shedding. Kurilian Bobtail grooming no grooming. Kurilian Bobtail max life expectancy 20. Kurilian Bobtail domain cat breeds.,Kurilian Bobtail min life expectancy 15. Kurilian Bobtail rating good. Kurilian Bobtail children friendly very kid-friendly. Kurilian Bobtail shedding minimal shedding. Kurilian Bobtail grooming no grooming. Kurilian Bobtail max life expectancy 20. Kurilian Bobtail domain cat breeds.,Kurilian Bobtail 15 Good Very Kid-Friendly Minimal Shedding No Grooming 20,7," The Kurilian Bobtail is a good rated cat breed with a lifespan of 15 to 20 years. It is very kid-friendly, with minimal shedding and no need for grooming.",inform,0.0161879377682278,61.774391174316406,2.7588924449082466,0.8102644,inform,match_scores
37477,37477,39,Desert Lynx grooming little grooming. Desert Lynx intelligence very intelligent. Desert Lynx domain cat breeds.,Desert Lynx grooming little grooming. Desert Lynx intelligence very intelligent. Desert Lynx domain cat breeds.,Desert Lynx Little Grooming Very Intelligent,3, The Desert Lynx is a breed of cat that requires very little grooming and is considered very intelligent.,inform,0.0315329281252309,31.71288108825684,4.048892532133102,0.7462693,inform,match
25867,25867,46,"Devon Rex intelligence very intelligent. Devon Rex origin Devon, England. Devon Rex domain cat breeds.","Devon Rex intelligence very intelligent. Devon Rex origin Devon, England. Devon Rex domain cat breeds.","Devon Rex Very Intelligent Devon, England",3," The Devon Rex is a very intelligent cat breed that originated in Devon, England.",inform,0.010070254066628,99.30236053466795,11.44707843033496,0.9069995,inform,match_scores_PPL
28106,28106,53,Foldex general health mainly healthy. Foldex max life expectancy 15. Foldex domain cat breeds.,Foldex general health mainly healthy. Foldex max life expectancy 15. Foldex domain cat breeds.,Foldex Mainly Healthy 15,3, The Foldex is a mainly healthy cat breed with a maximum life expectancy of  15 years.,inform,0.0027179326989831,367.92669677734375,2.719665272174911,0.6384687,inform,match_scores
40276,40276,69,Egyptian Mau meowing meows occasionally. Egyptian Mau rating okay. Egyptian Mau other pets friendly friendly to other pets. Egyptian Mau general health mainly healthy. Egyptian Mau domain cat breeds.,Egyptian Mau meowing meows occasionally. Egyptian Mau rating okay. Egyptian Mau other pets friendly friendly to other pets. Egyptian Mau general health mainly healthy. Egyptian Mau domain cat breeds.,Egyptian Mau Meows Occasionally Okay Friendly To Other Pets Mainly Healthy,5," The Egyptian Mau  is a cat breed that meows occasionally, and is overall rated okay. It is friendly to other pets and is mainly healthy.",inform,0.0042794819878251,233.6731414794922,2.670706811909888,0.8001571,inform,match_scores
5409,5409,74,Sokoke other pets friendly very friendly to other pets. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke children friendly most kid-friendly. Sokoke max life expectancy 15. Sokoke rating good. Sokoke domain cat breeds.,Sokoke other pets friendly very friendly to other pets. Sokoke meowing sometimes meows. Sokoke shedding no shedding. Sokoke intelligence very intelligent. Sokoke children friendly most kid-friendly. Sokoke max life expectancy 15. Sokoke rating good. Sokoke domain cat breeds.,Sokoke Very Friendly To Other Pets Sometimes Meows No Shedding Very Intelligent Most Kid-Friendly 15 Good,8," The Sokoke cat breed is known to be very friendly to other pets, sometimes meows, and does not shed. They are very intelligent and kid-friendly, with a maximum life expectancy of 15 years and a good rating.",inform,0.0169624195673995,58.95385360717773,1.038539619163422,0.75765634,inform,match_scores
